L5/S1椎体后缘轻度骨质增生	腰椎骨质增生
尿结晶阳性	尿结晶阳性
左下肺支气管扩张	支气管扩张
胸段脊柱轻度侧弯畸形	脊柱畸形
甲状腺峡部低回声结节	甲状腺结节
室间隔增厚,左室增大	左室增大、室间隔增厚
双侧胸膜稍增厚	胸膜增厚
右肺下叶小气囊	肺气囊
右侧第9-11肋骨陈旧性骨折	骨折
甲状腺双侧叶囊实性结节,右叶多发(TI-RADS2-3类)	甲状腺结节 TI-RADS 2-3类
颈椎及椎间盘退行性变,C5-6椎间盘突出(中央型)	颈椎间盘突出、颈椎退行性改变
甲状腺多发结节(其中右叶大者结节伴钙化),考虑结节性甲状腺肿	结节性甲状腺肿
左膝关节腔及髌上囊少量积液	膝关节积液
双肺下叶陈旧性病变	肺陈旧性病灶
考虑右肺上叶前段、右肺下叶后基底段纤维小结节	肺纤维结节
双肺尖部及左肺舌叶纤维机化灶	肺纤维灶
右侧颈部低回声结节(考虑淋巴结肿大)	淋巴结肿大
考虑胆囊小结石	胆囊结石
甲状腺多发结节,其中大者结节考虑甲状腺腺瘤伴包膜钙化	甲状腺腺瘤
右肺中叶纤维小结节	肺纤维结节
右乳皮下低回声结节,考虑皮下脂肪瘤	皮下脂肪瘤
胰腺无回声区,囊肿？	胰腺囊肿
右侧颈总动脉斑块形成	颈动脉斑块
膀胱内斑状强回声,膀胱结石？	膀胱结石
肝左叶高回声结节,肝血管瘤可能	肝血管瘤？
子宫内膜下低回声结节,考虑粘膜下子宫肌瘤	子宫肌瘤？
颈椎退行性改变,C4-5椎间盘轻度突出	颈椎退行性改变、颈椎间盘突出
左侧额顶叶少量脑缺血灶	脑缺血灶
右前臂内侧皮下脂肪层内高回声结节,考虑脂肪瘤	脂肪瘤
双上肺少许硬结钙化灶	肺钙化灶
左肝内高回声区,考虑①局限性肝脂肪浸润？②肝血管瘤？	肝血管瘤？
左肝外侧叶囊实性病灶(胆管细胞癌？)。肝右叶多发小囊肿、小血管瘤？	肝囊肿
颈4-6椎体骨质增生,颈4-5右侧椎间孔变小	骨质增生
双下肺野多个小结节影	肺结节
右前上纵隔见条状密度增高影,拟扩大淋巴管可能	纵隔扩大淋巴管可能
鼻双侧鼻前庭粘膜糜烂充血、双侧鼻出血史	鼻出血史、鼻粘膜糜烂、鼻粘膜充血
额顶叶脑白质区少许缺血灶	脑缺血灶
右肝内低回声区,考虑不均匀脂肪肝	脂肪肝
左侧附件区不均质回声区	附件区不均质回声区
右肺上叶后段、右肺中叶慢性炎症	肺慢性炎症
甲状腺右叶极低回声结节	甲状腺结节
残余甲状腺右叶稍低回声结节	甲状腺结节
甲状腺右叶多发结节,其一结节伴钙化	甲状腺结节
结合膜左眼鼻侧翼状胬肉	翼状胬肉
甲状腺左叶下极下方等回声结节,考虑淋巴结可见	甲状腺结节
甲状腺多发结节,左叶大者结节伴钙化,考虑结节性甲状腺肿	结节性甲状腺肿
左肺上叶舌段支气管扩张伴慢性炎症	支气管扩张、肺慢性炎症
肝实质回声稍增粗,门静脉稍增宽	肝回声增粗
双侧乳腺无回声区(左乳多发),乳腺囊肿？	乳腺囊肿？
双侧颈动脉硬化伴左侧斑块形成	动脉硬化
甲状腺右叶中部实性结节伴粗大钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
甲状腺左叶多发低回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
甲状腺右叶高回声结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
左肺及右中肺散在多发小结节	肺结节
C3/4、C4/5、C5/6椎间盘突出(中央型)	颈椎间盘突出
右肝内低回声结节,肝血管瘤？	肝血管瘤？
陈旧病灶可能,与前片相仿	肺陈旧病灶可能
左肺上叶尖后段、下叶背段慢性炎症	肺慢性炎症
双肺多发肺气囊	肺气囊
左肺下叶微小良性结节影	肺结节
双侧肾窦回声增强	肾窦回声增强
颈椎退行性改变,C3/4、C4/5、C5/6、C6/7椎间盘轻度膨隆	颈椎退行性改变
脾脏轻度增大	脾大
甲状腺右叶多发高回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
二尖瓣、三尖瓣轻度反流(生理性)	二尖瓣反流、三尖瓣反流
子宫增大约妊娠2个多月大小,质硬	子宫增大
双下肺钙化灶	肺钙化灶
L5/S1椎间盘膨隆	腰椎间盘膨出
直接胆红素增高	直接胆红素增高
耳慢性中耳炎	慢性中耳炎
双侧放射冠区多发腔梗,轻度脑白质变性,脑萎缩(双侧颞叶为著)	脑萎缩
颈椎退行性变,C3/4、C4/5、C5/6椎间盘轻度突出	颈椎间盘突出、颈椎退行性改变
甲状腺右叶低回声结节伴钙化,性质待定	甲状腺结节
自诉前列腺术后,残余前列腺增大	前列腺增大、前列腺术后
右乳局部导管扩张伴多发高回声结节,导管内乳头状瘤？	乳腺导管扩张
右肺下叶背段结节	肺结节
颈3-6椎体骨质增生,颈3-4、4-5双侧椎间孔变小	颈椎骨质增生
双侧乳腺轻度增生声像	乳腺增生
双侧髂骨嵴骨质增生	骨质增生
双肺慢性炎症,部分为间质性炎症,双下肺支气管扩张	支气管扩张、肺慢性炎症
肝内胆管小结石或钙化灶	胆管结石
右肝内高回声结节,倾向良性病变可能	肝良性病变可能
胸苷激酶增高	胸苷激酶增高
肝实质回声明显增粗,考虑肝硬化	肝硬化
颈椎退行性变,C3/4、C4/5、C5/6椎间盘轻度膨隆	颈椎间盘膨出、颈椎退行性改变
左肝外叶低回声结节,占位性病变？	肝占位性病变?
肝左外叶低回声结节,考虑良性病变可能性大,血管瘤可能	肝血管瘤？
宫内节育器位置受压下移	子宫内节育器移位
右额叶白质区一局灶脱髓鞘改变	脱髓鞘改变
右肺中叶、左肺下叶慢性炎症并左下胸膜增厚粘连	胸膜增厚
双肺气肿,并左肺上叶肺大泡	肺气肿、肺大泡
右肺下叶外段纤维小结节	肺纤维结节
肝尾状叶无回声区,考虑肝囊肿	肝囊肿
左侧颈部低回声结节,考虑淋巴结肿大	淋巴结肿大
嗜碱性粒细胞百分比增高	嗜碱性粒细胞百分比增高
双肺尖少许胸膜下陈旧性病灶	肺陈旧性病灶
左肺下叶后基底段钙化小结节	肺结节
风湿性心脏病,二尖瓣狭窄(中度)	二尖瓣狭窄、风湿性心脏病
甲状腺多发结节,右叶其一结节伴钙化,考虑结节性甲状腺肿	结节性甲状腺肿
右乳低回声结节伴钙化,考虑占位性病变,BI-RADS4A类	乳腺占位性病变
甲状腺多发高回声结节,性质待定	甲状腺结节
右肺上叶散在慢性炎症	肺慢性炎症
双侧筛窦、上颌窦炎症	上颌窦炎
左肺下叶外侧底段胸膜下局灶性慢性炎症病灶	肺慢性炎症
左乳腺切除术后改变	左侧乳腺术后
膀胱不充盈,膀胱、子宫、左附件区、右附件区放弃检查	膀胱不充盈,放弃部分检查
肝实质回声增粗,考虑血吸虫肝治疗后改变	血吸虫肝
右肺中叶、左肺上叶舌段、下叶慢性炎症	肺慢性炎症
血红蛋白测定降低	血红蛋白测定降低
双肾稍偏小	肾囊肿
右侧颈动脉内-中膜增厚伴右锁骨下动脉斑块形成	颈动脉内-中膜增厚、颈动脉斑块形成
左上肺少许陈旧病灶,局限性肺气肿	肺气肿、肺陈旧性病灶
左下肺少许纤维小结节	肺纤维结节
腰椎退行性改变,L4/5椎间盘轻度膨出,L5/S1椎间盘突出	腰椎间盘突出
子宫多发实性结节,考虑多发性子宫肌瘤	子宫肌瘤？
左房、左室增大	左室增大
游离T4增高	游离T4增高
血红蛋白测定降低	血红蛋白测定降低
右肺中下叶不张伴支气管扩张	支气管扩张
右侧输尿管中上段结石伴扩张,右肾积水	肾积水、输尿管结石
双肾囊肿	肾囊肿
双侧乳腺多发低回声结节,双侧乳腺增生	乳腺增生
双肺慢性炎症(以间质改变为主)	肺炎
右肺中叶内侧段慢性炎症	肺慢性炎症
甲状腺多发低回声结节,考虑结节性甲状腺肿,其中左侧叶大者结节考虑滤泡性肿瘤	结节性甲状腺肿
双肺肺间质纤维化	肺间质纤维化
左肺上叶下舌段磨玻璃小结节	肺磨玻璃结节
考虑慢性支气管炎、右中肺及左下肺陈旧病灶	慢性支气管炎、肺陈旧性病灶
残余甲状腺右叶多发低回声小结节	甲状腺结节
左肝内高回声团,肝血管瘤？	肝血管瘤？
主动脉瓣、肺动脉瓣、二尖瓣、三尖瓣轻度反流	二尖瓣反流、三尖瓣反流、主动脉瓣反流、肺动脉瓣反流
双肺上叶慢性炎性病变,双肺上叶肺气肿	肺气肿
腰椎退行性变,L4/5椎间盘轻度膨出	腰椎退行性变
甲状腺右叶混合回声结节,考虑良性结节可能	甲状腺结节
子宫多发低回声结节,大者结节伴环状强回声,考虑多发性子宫肌瘤,大者肌瘤伴钙化	子宫肌瘤
甲状腺实质回声增粗不均,考虑桥本氏甲状腺炎	甲状腺回声增粗
左侧附件区混合回声结节,考虑左侧卵巢畸胎瘤	卵巢畸胎瘤
红外线扫描影像双乳腺增生,	乳腺增生
频发室性早搏,部分呈插入性,早搏后伴心室内差异性传导,部分呈二联律、三联律	室性早搏
左上腹胰尾前方低回声团,胃间质瘤？	胃间质瘤
右肺下叶小结节,考虑为炎症可能	肺结节
考虑左肺尖胸膜下纤维小结节	肺纤维结节
子宫左旁低回声结节,浆膜下肌瘤可能,饱满的左卵巢待除外	子宫肌瘤？
两肺上叶、两肺下叶前基底段多发陈旧性病灶	肺陈旧性病灶
甲状腺多发低回声结节伴钙化	甲状腺结节
左上肺少许炎症	肺炎性改变
甲状腺右叶低回声结节,结节性甲状腺肿？	结节性甲状腺肿？
右肾上腺区低回声结节	肾上腺结节
腰椎轻度退行性改变,L3/4、L4/5椎间盘轻度膨出,L5/S1椎间盘轻度突出	腰椎间盘突出
右肝内稍高回声区,考虑局灶性肝脂肪浸润?肝血管瘤？	肝血管瘤？
右乳头下方混合回声结节,考虑导管内乳头状瘤	乳腺结节
右肺上叶及左肺下叶少许慢性炎症	肺慢性炎症
左肝内不规则低回声区,考虑不均匀性脂肪肝	不均匀性脂肪肝
双肺肺气肿,左上肺孤立肺大泡	肺气肿、肺大泡
右侧乳腺实性结节伴钙化(BI-RADS3类),左侧乳腺实性结节(BI-RADS2类)	乳腺结节 BI-RADS 3类
右肺下叶钙化灶	肺钙化灶
甲状腺右侧叶多发结节,部分结节伴环形钙化,考虑结节性甲状腺肿	结节性甲状腺肿
L4-5、L5-S1椎间盘膨隆	腰椎间盘膨出
扁桃体双侧扁桃体II度肿大、右侧息肉	扁桃体Ⅱ肿大
肝右叶胆囊旁低回声结节,性质待定	肝结节
右肾实质内稍高回声结节,肾错构瘤可能	肾错构瘤？
左侧额叶少量缺血灶	脑缺血灶
颈椎退行性改变,C3/4、C4/5、C6/7椎间盘突出	颈椎间盘突出、颈椎退行性改变
右侧输尿管下端结石,伴右输尿管及右肾盂积水扩张	肾盂积水、输尿管结石
左侧基底节及双侧放射冠区多发缺血灶	脑缺血灶
右上肺少许纤维化、钙化	肺纤维化
左房、左室增大,二尖瓣轻度反流	左房增大、左室增大、二尖瓣反流
双肾实质回声稍增强	肾囊肿
左输尿管末端囊肿可能	输尿管囊肿
右侧精索静脉曲张	精索静脉曲张
双眼屈光不正(中度近视)	屈光不正
甲状腺左叶多发结节,其一结节伴钙化	甲状腺结节
右肺中叶支气管扩张	支气管扩张
血清钙增高	血清钙增高
显著窦性心动过缓	窦性心动过缓
颈椎轻度退行性改变,C3/4、椎间盘轻度突出	颈椎退行性改变、颈椎间盘突出
甲状腺多发实性结节,部分结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
双下肺胸膜增厚粘连	胸膜增厚
轻度柱状上皮异位	宫颈柱状上皮异位
右肺中叶内侧段及左肺下叶少许纤维机化灶,较前片(2017-11-24)大致相仿	肺纤维灶
双肺多发微小结节及左肺斜裂胸膜缘条片结节影,考虑为炎症性病变	肺结节
甲状腺双侧叶低至无回声结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
肝右后叶稍高回声结节,考虑肝血管瘤可能	肝血管瘤？
其他双眼近视激光术后	近视
抗“O”增高	抗“O”增高
甲状腺右叶结节伴粗钙化	甲状腺结节
甲状腺右叶混合回声结节,腺瘤囊性变？	甲状腺腺瘤？
宫内节育器,位置异常？	子宫内节育器移位
主动脉瓣返流+,三尖瓣返流+	三尖瓣返流、主动脉瓣返流
尿早早孕试验阳性	尿早早孕试验阳性
双侧颈动脉内-中膜增厚伴斑块形成(右侧多发)	颈动脉内-中膜增厚、颈动脉斑块形成
右肾中部低回声结节伴钙化	肾结节
右肺下叶背段微小结节,必要时继续随访复查	肺结节
甲状腺双侧叶多发混合回声结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
右侧大腿中段前壁皮下脂肪层低回声结节,炎性结节？	右腿皮下结节
肝右叶内高回声结节,考虑肝血管瘤	肝血管瘤
左肺上叶舌段、右肺下叶后基底段慢性炎症	肺慢性炎症
脂肪肝	脂肪肝
右侧上颌窦、双侧筛窦慢性炎症	鼻窦炎
右肾多发高回声结节,考虑错构瘤	肾错构瘤？
右侧第4、5肋骨骨折	骨折
L5/S1椎间盘突出(中央偏左)	腰椎间盘突出
右侧附件区无回声区(卵巢囊肿？)	卵巢囊肿
宫腔内高回声结节,子宫内膜息肉？	子宫内膜息肉？
C肽增高	C肽增高
右肾实质低至无回声区,肾囊肿？	肾囊肿？
双侧筛窦炎症	筛窦炎
HP尿素酶抗体检测阳性	HP尿素酶抗体检测阳性
双肾多发囊肿(左肾其一囊肿伴囊壁钙化)	肾囊肿
肺纹理增强、双上肺少许肺大泡	肺大泡
双膝关节退行性骨关节病	膝关节退行性改变、骨关节病
嗜酸粒细胞(镜检)降低	嗜酸粒细胞(镜检)降低
L5/S1椎间盘变性、突出	腰椎间盘变性、腰椎间盘突出
肝左外叶稍低回声结节,不均质脂肪肝？血管瘤？	脂肪肝
双肺下叶慢性炎症,左肺下叶支气管扩张可能	支气管扩张、肺慢性炎症
左侧附件区无回声区,考虑卵泡	卵泡
甲状腺右叶片状低回声区,亚急性甲状腺炎？	亚急性甲状腺炎
左侧胸腔少量积液	胸腔积液
左侧额叶及左侧放射冠区少许缺血灶	脑缺血灶
左侧附件区无回声区,考虑左卵巢囊肿(生理性)	卵巢囊肿
右肺上叶术后改变,斜裂局限性积液伴钙化	右肺术后改变、肺钙化
不完全纵隔子宫	纵隔子宫
右肺中叶及左肺上叶慢性炎症	肺慢性炎症
子宫所见考虑多发子宫肌瘤	子宫肌瘤？
T波改变(I、aVL、V5、V6)	T波改变
肝右叶稍低回声结节,血管瘤？不均质脂肪肝？	脂肪肝、肝血管瘤？
右肺少许纤维小结节、左肺下叶前内基底段部分实性小结节	肺纤维结节
附件左侧附件压痛	附件压痛
左肾钙质沉淀症	肾钙质沉淀症
缓慢型心房颤动伴长R-R间期	心房颤动
左肺少许慢性炎症病灶	肺慢性炎症
双侧乳腺无回声区(左乳多发),考虑囊性增生	乳腺囊性增生
甲状腺多发结节,TI-RADS3类,考虑结节性甲状腺肿	结节性甲状腺肿
肝脏形态改变,脾脏增大,肝硬化可能	肝硬化、脾大
左侧锁骨上窝淋巴结可见	锁骨上窝淋巴结可见
右侧胸膜小结节,考虑胸膜局限性增厚	胸膜增厚
右肾无回声区,囊肿可能	肾囊肿？
左乳外侧约3点钟处及右乳外下象限约8点钟处低回声结节,考虑纤维腺瘤	乳腺纤维瘤
尿真菌阳性	尿真菌阳性
二尖瓣后叶钙化、二尖瓣轻-中度反流	二尖瓣反流
右侧乳腺乳头下方囊实性结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
腰1-3椎体骨质增生	腰椎骨质增生
胸廓鸡胸	鸡胸
肝右叶低回声结节(结节样增生？)	肝结节
扫及右侧椎动脉管腔较细,考虑先天变异	椎动脉先天变异
肝内多发结节状低密度影	肝结节
右肺上叶前段、左肺上叶下舌段慢性炎症	肺慢性炎症
双侧胫骨轻度骨质增生	骨质增生
右上肺纯磨玻璃结节	肺磨玻璃结节
右上肺及右下肺小结节	肺结节
考虑慢性支气管炎,左肺、右中肺慢性炎症伴轻度支气管扩张	慢性支气管炎、支气管扩张、肺慢性炎症
考虑右肾多发性结石伴局限性肾积水	肾积水、肾结石
甲状腺多发低回声结节,右叶大者伴钙化	甲状腺结节
双侧乳腺多发结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
主动脉瓣、二尖瓣轻度反流,三尖瓣微量反流	二尖瓣反流、三尖瓣反流、主动脉瓣反流
左肝内无回声区,考虑肝囊肿	肝囊肿
双侧乳腺低回声结节,左乳者伴钙化,考虑纤维腺瘤	乳腺纤维瘤
残余甲状腺多发实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
